,q,shat,beta,gamma_exb,electron_dens_gradient,electron_nu,betaprime,electron_temp_gradient,deuterium_temp_gradient,isapar,isbpar,psi_n,shift,delta,deltaprime,kappa,kappaprime,electron_nu.1,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,betaprime_correct,IBMgr
0,4.040822729,0.722144413,0.001932214,0.089507136,0.546573679,0.000315205,-0.054848444,1.900697906,2.094788819,True,True,0.851235182,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.010000158146048321,-0.016674570153233568
1,4.392319371,0.413281138,0.002604737,0.029675857,1.214409432,0.000415238,-0.025700311,2.352499886,2.262410737,True,True,0.536773235,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.018644864827183482,-0.009283301097705483
2,4.50978037,0.521033921,0.002848848,0.011036193,0.917858741,0.000446372,-0.055778907,1.444888576,1.914877239,True,True,0.536773235,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.015066515301363872,-0.009610188136375304
3,4.80622672,0.519866719,0.005972333,0.052821022,0.892072979,0.000301314,-0.029714642,0.426968824,0.918392021,True,True,0.536773235,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.01904601902456723,-0.008624449638626238
4,3.191868997,0.460359924,0.002624672,0.017749334,0.621464412,0.00036493,-0.012801386,1.886085448,1.94659889,True,True,0.636769252,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.013543466968122687,-0.020031156380856917
5,3.29355456,0.503548009,0.007358331,0.031699211,0.778301489,0.000383661,-0.048465506,0.706742921,1.118018643,True,True,0.636769252,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.025340051394448393,-0.015317555909446534
6,4.071932335,1.109723744,0.011524035,0.045271303,0.799322189,0.0003412,-0.031647054,2.054356319,2.486718897,True,True,0.636769252,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.07199960074860078,-0.022551816764842757
7,4.434382065,0.301757432,0.012521681,0.013684293,0.910846399,0.000455024,-0.089790538,1.247992313,1.238400931,True,True,0.636769252,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.05482945322709343,-0.021789301628412184
8,3.546556622,1.033729989,0.014507812,0.026319012,0.534431315,0.000441236,-0.079830437,2.39270564,2.821387154,True,True,0.636769252,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.09275290133556381,-0.023994753505656732
9,3.243471726,0.32688026,0.006672727,0.036037826,0.773737247,0.000472499,-0.061902397,2.436938791,2.802895835,True,True,0.636769252,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.04607466132013936,-0.012095569319367868
10,4.313368644,0.541805658,0.009921908,0.062018412,1.109825554,0.000284897,-0.021143928,1.504472336,1.721029167,True,True,0.636769252,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.05494992532125735,-0.019928342893772304
11,4.260689218,0.87049598,0.009045541,0.042249049,0.896924716,0.000509132,-0.076249499,1.951069188,1.431376216,True,True,0.636769252,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.047514943623033996,-0.014965848055629921
12,3.646821434,1.10212192,0.010745295,0.011706639,1.196630428,0.000311181,-0.051370873,0.790161042,0.890164878,True,True,0.636769252,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.04450925185955979,-0.011673673442393576
13,4.925941062,0.914767445,0.008567931,0.019441674,0.471059704,0.000286016,-0.007084986,1.968740225,1.725932158,True,True,0.636769252,-0.399188321,0.283118832,0.292096551,2.560049023,0.015159987,0.000513856,,,,,,-0.04034670540374943,-0.01480403666983109
